1   Bulbasaur grass poison 0.7m 6.9kg 45 49 49 65 65 45 
2   Ivysaur grass poison 1.0m 13.0kg 60 62 63 80 80 60 
3   Venusaur grass poison 2.0m 100.0kg 80 82 83 100 100 80 2.4m 155.5kg 80 100 123 122 120 80 grass poison 
4   Charmander fire - 0.6m 8.5kg 39 52 43 60 50 65 
5   Charmeleon fire - 1.1m 19.0kg 58 64 58 80 65 80 
6   Charizard fire flying 1.7m 90.5kg 78 84 78 109 85 100 1.7m 110.5kg 78 130 111 130 85 100 fire flying 1.7m 100.5kg 78 104 78 159 115 100 fire dragon 
7   Squirtle water - 0.5m 9.0kg 44 48 65 50 64 43 
8   Wartortle water - 1.0m 22.5kg 59 63 80 65 80 58 
9   Blastoise water - 1.6m 85.5kg 79 83 100 85 105 78 1.6m 101.1kg 79 103 120 135 115 78 water - 
10   Caterpie bug - 0.3m 2.9kg 45 30 35 20 20 45 
11   Metapod bug - 0.7m 9.9kg 50 20 55 25 25 30 
12   Butterfree bug flying 1.1m 32.0kg 60 45 50 90 80 70 
13   Weedle bug poison 0.3m 3.2kg 40 35 30 20 20 50 
14   Kakuna bug poison 0.6m 10.0kg 45 25 50 25 25 35 
15   Beedrill bug poison 1.0m 29.5kg 65 90 40 45 80 75 
16   Pidgey normal flying 0.3m 1.8kg 40 45 40 35 35 56 
17   Pidgeotto normal flying 1.1m 30.0kg 63 60 55 50 50 71 
18   Pidgeot normal flying 1.5m 39.5kg 83 80 75 70 70 101 
19   Rattata normal - 0.3m 3.5kg 30 56 35 25 35 72 
20   Raticate normal - 0.7m 18.5kg 55 81 60 50 70 97 
21   Spearow normal flying 0.3m 2.0kg 40 60 30 31 31 70 
22   Fearow normal flying 1.2m 38.0kg 65 90 65 61 61 100 
23   Ekans poison - 2.0m 6.9kg 35 60 44 40 54 55 
24   Arbok poison - 3.5m 65.0kg 60 85 69 65 79 80 
25   Pikachu electric - 0.4m 6.0kg 35 55 40 50 50 90 
26   Raichu electric - 0.8m 30.0kg 60 90 55 90 80 110 
27   Sandshrew ground - 0.6m 12.0kg 50 75 85 20 30 40 
28   Sandslash ground - 1.0m 29.5kg 75 100 110 45 55 65 
29   Nidoran&#9792; poison - 0.4m 7.0kg 55 47 52 40 40 41 
30   Nidorina poison - 0.8m 20.0kg 70 62 67 55 55 56 
31   Nidoqueen poison ground 1.3m 60.0kg 90 92 87 75 85 76 
32   Nidoran&#9794; poison - 0.5m 9.0kg 46 57 40 40 40 50 
33   Nidorino poison - 0.9m 19.5kg 61 72 57 55 55 65 
34   Nidoking poison ground 1.4m 62.0kg 81 102 77 85 75 85 
35   Clefairy fairy - 0.6m 7.5kg 70 45 48 60 65 35 
36   Clefable fairy - 1.3m 40.0kg 95 70 73 95 90 60 
37   Vulpix fire - 0.6m 9.9kg 38 41 40 50 65 65 
38   Ninetales fire - 1.1m 19.9kg 73 76 75 81 100 100 
39   Jigglypuff normal fairy 0.5m 5.5kg 115 45 20 45 25 20 
40   Wigglytuff normal fairy 1.0m 12.0kg 140 70 45 85 50 45 
41   Zubat poison flying 0.8m 7.5kg 40 45 35 30 40 55 
42   Golbat poison flying 1.6m 55.0kg 75 80 70 65 75 90 
43   Oddish grass poison 0.5m 5.4kg 45 50 55 75 65 30 
44   Gloom grass poison 0.8m 8.6kg 60 65 70 85 75 40 
45   Vileplume grass poison 1.2m 18.6kg 75 80 85 110 90 50 
46   Paras bug grass 0.3m 5.4kg 35 70 55 45 55 25 
47   Parasect bug grass 1.0m 29.5kg 60 95 80 60 80 30 
48   Venonat bug poison 1.0m 30.0kg 60 55 50 40 55 45 
49   Venomoth bug poison 1.5m 12.5kg 70 65 60 90 75 90 
50   Diglett ground - 0.2m 0.8kg 10 55 25 35 45 95 
51   Dugtrio ground - 0.7m 33.3kg 35 80 50 50 70 120 
52   Meowth normal - 0.4m 4.2kg 40 45 35 40 40 90 
53   Persian normal - 1.0m 32.0kg 65 70 60 65 65 115 
54   Psyduck water - 0.8m 19.6kg 50 52 48 65 50 55 
55   Golduck water - 1.7m 76.6kg 80 82 78 95 80 85 
56   Mankey fighting - 0.5m 28.0kg 40 80 35 35 45 70 
57   Primeape fighting - 1.0m 32.0kg 65 105 60 60 70 95 
58   Growlithe fire - 0.7m 19.0kg 55 70 45 70 50 60 
59   Arcanine fire - 1.9m 155.0kg 90 110 80 100 80 95 
60   Poliwag water - 0.6m 12.4kg 40 50 40 40 40 90 
61   Poliwhirl water - 1.0m 20.0kg 65 65 65 50 50 90 
62   Poliwrath water fighting 1.3m 54.0kg 90 95 95 70 90 70 
63   Abra psychic - 0.9m 19.5kg 25 20 15 105 55 90 
64   Kadabra psychic - 1.3m 56.5kg 40 35 30 120 70 105 
65   Alakazam psychic - 1.5m 48.0kg 55 50 45 135 95 120 1.2m 48kg 55 50 65 175 95 150 psychic - 
66   Machop fighting - 0.8m 19.5kg 70 80 50 35 35 35 
67   Machoke fighting - 1.5m 70.5kg 80 100 70 50 60 45 
68   Machamp fighting - 1.6m 130.0kg 90 130 80 65 85 55 
69   Bellsprout grass poison 0.7m 4.0kg 50 75 35 70 30 40 
70   Weepinbell grass poison 1.0m 6.4kg 65 90 50 85 45 55 
71   Victreebel grass poison 1.7m 15.5kg 80 105 65 100 70 70 
72   Tentacool water poison 0.9m 45.5kg 40 40 35 50 100 70 
73   Tentacruel water poison 1.6m 55.0kg 80 70 65 80 120 100 
74   Geodude rock ground 0.4m 20.0kg 40 80 100 30 30 20 
75   Graveler rock ground 1.0m 105.0kg 55 95 115 45 45 35 
76   Golem rock ground 1.4m 300.0kg 80 120 130 55 65 45 
77   Ponyta fire - 1.0m 30.0kg 50 85 55 65 65 90 
78   Rapidash fire - 1.7m 95.0kg 65 100 70 80 80 105 
79   Slowpoke water psychic 1.2m 36.0kg 90 65 65 40 40 15 
80   Slowbro water psychic 1.6m 78.5kg 95 75 110 100 80 30 
81   Magnemite electric steel 0.3m 6.0kg 25 35 70 95 55 45 
82   Magneton electric steel 1.0m 60.0kg 50 60 95 120 70 70 
83   Farfetch'd normal flying 0.8m 15.0kg 52 65 55 58 62 60 
84   Doduo normal flying 1.4m 39.2kg 35 85 45 35 35 75 
85   Dodrio normal flying 1.8m 85.2kg 60 110 70 60 60 100 
86   Seel water - 1.1m 90.0kg 65 45 55 45 70 45 
87   Dewgong water ice 1.7m 120.0kg 90 70 80 70 95 70 
88   Grimer poison - 0.9m 30.0kg 80 80 50 40 50 25 
89   Muk poison - 1.2m 30.0kg 105 105 75 65 100 50 
90   Shellder water - 0.3m 4.0kg 30 65 100 45 25 40 
91   Cloyster water ice 1.5m 132.5kg 50 95 180 85 45 70 
92   Gastly ghost poison 1.3m 0.1kg 30 35 30 100 35 80 
93   Haunter ghost poison 1.6m 0.1kg 45 50 45 115 55 95 
94   Gengar ghost poison 1.5m 40.5kg 60 65 60 130 75 110 1.4m 40.5kg 60 65 80 170 95 130 ghost poison 
95   Onix rock ground 8.8m 210.0kg 35 45 160 30 45 70 
96   Drowzee psychic - 1.0m 32.4kg 60 48 45 43 90 42 
97   Hypno psychic - 1.6m 75.6kg 85 73 70 73 115 67 
98   Krabby water - 0.4m 6.5kg 30 105 90 25 25 50 
99   Kingler water - 1.3m 60.0kg 55 130 115 50 50 75 
100   Voltorb electric - 0.5m 10.4kg 40 30 50 55 55 100 
101   Electrode electric - 1.2m 66.6kg 60 50 70 80 80 140 
102   Exeggcute grass psychic 0.4m 2.5kg 60 40 80 60 45 40 
103   Exeggutor grass psychic 2.0m 120.0kg 95 95 85 125 65 55 
