Acrobatics~55~0~flying
Aerial Ace~60~0~flying
Aqua Jet~40~0~water
Aqua Tail~90~0~water
Arm Thrust~15~0~fighting
Assurance~60~0~dark
Astonish~30~0~ghost
Attack Order~90~0~bug
Avalanche~60~0~ice
Barrage~15~0~normal
Beat Up~0~0~dark
Bide~0~0~normal
Bind~15~0~normal
Bite~60~0~dark
Blaze Kick~85~0~fire
Body Slam~85~0~normal
Bolt Strike~130~0~electric
Bone Club~65~0~ground
Bone Rush~25~0~ground
Bonemerang~50~0~ground
Bounce~85~0~flying
Brave Bird~120~0~flying
Brick Break~75~0~fighting
Bug Bite~60~0~bug
Bulldoze~60~0~ground
Bullet Punch~40~0~steel
Bullet Seed~25~0~grass
Chip Away~70~0~normal
Circle Throw~60~0~fighting
Clamp~35~0~water
Close Combat~120~0~fighting
Comet Punch~18~0~normal
Constrict~10~0~normal
Counter~0~0~fighting
Covet~60~0~normal
Crabhammer~100~0~water
Cross Chop~100~0~fighting
Cross Poison~70~0~poison
Crunch~80~0~dark
Crush Claw~75~0~normal
Crush Grip~0~0~normal
Cut~50~0~normal
Diamond Storm~100~0~rock
Dig~80~0~ground
Dive~80~0~water
Dizzy Punch~70~0~normal
Double Hit~35~0~normal
Double Kick~30~0~fighting
Double Slap~15~0~normal
Double-Edge~120~0~normal
Dragon Claw~80~0~dragon
Dragon Rush~100~0~dragon
Dragon Tail~60~0~dragon
Drain Punch~75~0~fighting
Drill Peck~80~0~flying
Drill Run~80~0~ground
Dual Chop~40~0~dragon
Dynamic Punch~100~0~fighting
Earthquake~100~0~ground
Egg Bomb~100~0~normal
Endeavor~0~0~normal
Explosion~250~0~normal
Extreme Speed~80~0~normal
Facade~70~0~normal
Fake Out~40~0~normal
False Swipe~40~0~normal
Feint~30~0~normal
Feint Attack~60~0~dark
Fell Stinger~30~0~bug
Fire Fang~65~0~fire
Fire Punch~75~0~fire
Fissure~0~0~ground
Flail~0~0~normal
Flame Charge~50~0~fire
Flame Wheel~60~0~fire
Flare Blitz~120~0~fire
Fling~0~0~dark
Fly~90~0~flying
Flying Press~80~0~fighting
Focus Punch~150~0~fighting
Force Palm~60~0~fighting
Foul Play~95~0~dark
Freeze Shock~140~0~ice
Frustration~120~0~normal
Fury Attack~15~0~normal
Fury Cutter~40~0~bug
Fury Swipes~18~0~normal
Fusion Bolt~100~0~electric
Gear Grind~50~0~steel
Giga Impact~150~0~normal
Guillotine~0~0~normal
Gunk Shot~120~0~poison
Gyro Ball~0~0~steel
Hammer Arm~100~0~fighting
Head Charge~120~0~normal
Head Smash~150~0~rock
Headbutt~70~0~normal
Heart Stamp~60~0~psychic
Heat Crash~0~0~fire
Heavy Slam~0~0~steel
High Jump Kick~130~0~fighting
Hold Back~40~0~normal
Horn Attack~65~0~normal
Horn Drill~0~0~normal
Horn Leech~75~0~grass
Hyper Fang~80~0~normal
Ice Ball~30~0~ice
Ice Fang~65~0~ice
Ice Punch~75~0~ice
Ice Shard~40~0~ice
